Frame;Hour;Vacc0;Vacc1;Vacc2;Vacc3;dI;dR;dV
546;18;115214;62226;13049;0;0;0;
547;19;115214;62226;13049;0;0;0;
548;20;115214;62226;13049;0;0;0;
549;21;115214;62226;13049;0;0;0;
550;22;115214;62226;13049;0;0;0;
551;23;115214;62226;13049;0;0;0;
552;0;115214;62226;13049;0;0;0;
553;1;115214;62226;13049;0;0;0;
554;2;115214;62226;13049;0;0;0;
555;3;115214;62226;13049;0;0;0;
556;4;115214;62226;13049;0;0;0;
557;5;115214;62226;13049;0;0;0;
558;6;115214;62226;13049;0;0;0;
559;7;115214;62226;13049;0;0;0;
560;8;115214;62226;13049;0;0;0;
561;9;112990;62494;15005;0;-2224;268;
562;10;110762;62762;16965;0;-2228;268;
563;11;110762;62762;16965;0;0;0;
564;12;108528;63029;18932;0;-2234;267;
565;13;108528;63029;18932;0;0;0;
566;14;108528;63029;18932;0;0;0;
567;15;108528;63029;18932;0;0;0;
568;16;108528;63029;18932;0;0;0;
569;17;108528;63029;18932;0;0;0;
570;18;108528;63029;18932;0;0;0;
571;19;108528;63029;18932;0;0;0;
572;20;108528;63029;18932;0;0;0;
573;21;108528;63029;18932;0;0;0;
574;22;108528;63029;18932;0;0;0;
575;23;108528;63029;18932;0;0;0;
576;0;108528;63029;18932;0;0;0;
577;1;108528;63029;18932;0;0;0;
578;2;108528;63029;18932;0;0;0;
579;3;108528;63029;18932;0;0;0;
580;4;108528;63029;18932;0;0;0;
581;5;108528;63029;18932;0;0;0;
582;6;108528;63029;18932;0;0;0;
583;7;108528;63029;18932;0;0;0;
584;8;108528;63029;18932;0;0;0;
585;9;106497;64620;19372;0;-2031;1591;
586;10;104464;66208;19817;0;-2033;1588;
587;11;104464;66208;19817;0;0;0;
588;12;102424;67802;20263;0;-2040;1594;
589;13;102424;67802;20263;0;0;0;
590;14;102424;67802;20263;0;0;0;
591;15;102424;67802;20263;0;0;0;
592;16;102424;67802;20263;0;0;0;
593;17;102424;67802;20263;0;0;0;
594;18;102424;67802;20263;0;0;0;
595;19;102424;67802;20263;0;0;0;
596;20;102424;67802;20263;0;0;0;
597;21;102424;67802;20263;0;0;0;
598;22;102424;67802;20263;0;0;0;
599;23;102424;67802;20263;0;0;0;
600;0;102424;67802;20263;0;0;0;
601;1;102424;67802;20263;0;0;0;
602;2;102424;67802;20263;0;0;0;
603;3;102424;67802;20263;0;0;0;
604;4;102424;67802;20263;0;0;0;
605;5;102424;67802;20263;0;0;0;
606;6;102424;67802;20263;0;0;0;
607;7;102424;67802;20263;0;0;0;
608;8;102424;67802;20263;0;0;0;
609;9;102022;68104;20363;0;-402;302;
610;10;101615;68410;20464;0;-407;306;
611;11;101615;68410;20464;0;0;0;
612;12;101201;68718;20570;0;-414;308;
613;13;101201;68718;20570;0;0;0;
614;14;101201;68718;20570;0;0;0;
615;15;101201;68718;20570;0;0;0;
616;16;101201;68718;20570;0;0;0;
617;17;101201;68718;20570;0;0;0;
618;18;101201;68718;20570;0;0;0;
619;19;101201;68718;20570;0;0;0;
620;20;101201;68718;20570;0;0;0;
621;21;101201;68718;20570;0;0;0;
622;22;101201;68718;20570;0;0;0;
623;23;101201;68718;20570;0;0;0;
624;0;101201;68718;20570;0;0;0;
625;1;101201;68718;20570;0;0;0;
626;2;101201;68718;20570;0;0;0;
627;3;101201;68718;20570;0;0;0;
628;4;101201;68718;20570;0;0;0;
629;5;101201;68718;20570;0;0;0;
630;6;101201;68718;20570;0;0;0;
631;7;101201;68718;20570;0;0;0;
632;8;101201;68718;20570;0;0;0;
633;9;101201;67352;21936;0;0;-1366;
634;10;101201;65984;23304;0;0;-1368;
635;11;101201;65984;23304;0;0;0;
636;12;101201;64608;24680;0;0;-1376;
637;13;101201;64608;24680;0;0;0;
638;14;101201;64608;24680;0;0;0;
639;15;101201;64608;24680;0;0;0;
640;16;101201;64608;24680;0;0;0;
641;17;101201;64608;24680;0;0;0;
642;18;101201;64608;24680;0;0;0;
643;19;101201;64608;24680;0;0;0;
644;20;101201;64608;24680;0;0;0;
645;21;101201;64608;24680;0;0;0;
646;22;101201;64608;24680;0;0;0;
647;23;101201;64608;24680;0;0;0;
648;0;101201;64608;24680;0;0;0;
649;1;101201;64608;24680;0;0;0;
650;2;101201;64608;24680;0;0;0;
651;3;101201;64608;24680;0;0;0;
652;4;101201;64608;24680;0;0;0;
653;5;101201;64608;24680;0;0;0;
654;6;101201;64608;24680;0;0;0;
655;7;101201;64608;24680;0;0;0;
656;8;101201;64608;24680;0;0;0;
657;9;100850;63707;25932;0;-351;-901;
658;10;100491;62813;27185;0;-359;-894;
659;11;100491;62813;27185;0;0;0;
660;12;100132;61912;28445;0;-359;-901;
661;13;100132;61912;28445;0;0;0;
662;14;100132;61912;28445;0;0;0;
663;15;100132;61912;28445;0;0;0;
664;16;100132;61912;28445;0;0;0;
665;17;100132;61912;28445;0;0;0;
666;18;100132;61912;28445;0;0;0;
667;19;100132;61912;28445;0;0;0;
668;20;100132;61912;28445;0;0;0;
669;21;100132;61912;28445;0;0;0;
670;22;100132;61912;28445;0;0;0;
671;23;100132;61912;28445;0;0;0;
672;0;100132;61912;28445;0;0;0;
673;1;100132;61912;28445;0;0;0;
674;2;100132;61912;28445;0;0;0;
675;3;100132;61912;28445;0;0;0;
676;4;100132;61912;28445;0;0;0;
677;5;100132;61912;28445;0;0;0;
678;6;100132;61912;28445;0;0;0;
679;7;100132;61912;28445;0;0;0;
680;8;100132;61912;28445;0;0;0;
681;9;98906;62213;29370;0;-1226;301;
682;10;97675;62516;30298;0;-1231;303;
683;11;97675;62516;30298;0;0;0;
684;12;96443;62816;31230;0;-1232;300;
685;13;96443;62816;31230;0;0;0;
686;14;96443;62816;31230;0;0;0;
687;15;96443;62816;31230;0;0;0;
688;16;96443;62816;31230;0;0;0;
689;17;96443;62816;31230;0;0;0;
690;18;96443;62816;31230;0;0;0;
691;19;96443;62816;31230;0;0;0;
692;20;96443;62816;31230;0;0;0;
693;21;96443;62816;31230;0;0;0;
694;22;96443;62816;31230;0;0;0;
695;23;96443;62816;31230;0;0;0;
