Frame;Hour;Day;Vacc0;Vacc1;Vacc2;dVacc0;dVacc1;dVacc2
514;10;21;122844;58113;5282;-874;874;0
515;11;21;122844;58094;5185;0;-19;-97
516;12;21;121964;58974;5185;-880;880;0
517;13;21;121964;58929;5129;0;-45;-56
518;14;21;121964;58929;5129;0;0;0
519;15;21;121964;58863;5108;0;-66;-21
520;16;21;121964;58863;5108;0;0;0
521;17;21;121964;58794;5093;0;-69;-15
522;18;21;121964;58794;5093;0;0;0
523;19;21;121964;58794;5093;0;0;0
524;20;21;121964;58794;5093;0;0;0
525;21;21;121964;58794;5093;0;0;0
526;22;21;121964;58794;5093;0;0;0
527;23;21;121964;58794;5093;0;0;0
528;0;22;121964;58794;5093;0;0;0
529;1;22;121964;58794;5093;0;0;0
530;2;22;121964;58794;5093;0;0;0
531;3;22;121964;58794;5093;0;0;0
532;4;22;121964;58794;5093;0;0;0
533;5;22;121964;58721;5080;0;-73;-13
534;6;22;121964;58721;5080;0;0;0
535;7;22;121964;58659;5056;0;-62;-24
536;8;22;119720;54936;11023;-2244;-3723;5967
537;9;22;119720;54927;10886;0;-9;-137
538;10;22;117468;57179;10886;-2252;2252;0
539;11;22;117468;57165;10743;0;-14;-143
540;12;22;115214;59419;10743;-2254;2254;0
541;13;22;115214;59382;10635;0;-37;-108
542;14;22;115214;59382;10635;0;0;0
543;15;22;115214;59344;10521;0;-38;-114
544;16;22;115214;59344;10521;0;0;0
545;17;22;115214;59312;10402;0;-32;-119
546;18;22;115214;59312;10402;0;0;0
547;19;22;115214;59312;10402;0;0;0
548;20;22;115214;59312;10402;0;0;0
549;21;22;115214;59312;10402;0;0;0
550;22;22;115214;59312;10402;0;0;0
551;23;22;115214;59312;10402;0;0;0
552;0;23;115214;59312;10402;0;0;0
553;1;23;115214;59312;10402;0;0;0
554;2;23;115214;59312;10402;0;0;0
555;3;23;115214;59312;10402;0;0;0
556;4;23;115214;59312;10402;0;0;0
557;5;23;115214;59285;10280;0;-27;-122
558;6;23;115214;59285;10280;0;0;0
559;7;23;115214;59247;10168;0;-38;-112
560;8;23;112990;56300;15339;-2224;-2947;5171
561;9;23;112990;56278;15184;0;-22;-155
562;10;23;110762;58506;15184;-2228;2228;0
563;11;23;110762;58482;15012;0;-24;-172
564;12;23;108528;60716;15012;-2234;2234;0
565;13;23;108528;60687;14847;0;-29;-165
566;14;23;108528;60687;14847;0;0;0
567;15;23;108528;60662;14670;0;-25;-177
568;16;23;108528;60662;14670;0;0;0
569;17;23;108528;60635;14504;0;-27;-166
570;18;23;108528;60635;14504;0;0;0
571;19;23;108528;60635;14504;0;0;0
572;20;23;108528;60635;14504;0;0;0
573;21;23;108528;60635;14504;0;0;0
574;22;23;108528;60635;14504;0;0;0
575;23;23;108528;60635;14504;0;0;0
576;0;24;108528;60635;14504;0;0;0
577;1;24;108528;60635;14504;0;0;0
578;2;24;108528;60635;14504;0;0;0
579;3;24;108528;60635;14504;0;0;0
580;4;24;108528;60635;14504;0;0;0
581;5;24;108528;60604;14345;0;-31;-159
582;6;24;108528;60604;14345;0;0;0
583;7;24;108528;60573;14190;0;-31;-155
584;8;24;106497;61302;15492;-2031;729;1302
585;9;24;106497;61278;15310;0;-24;-182
586;10;24;104464;63311;15310;-2033;2033;0
587;11;24;104464;63285;15119;0;-26;-191
588;12;24;102424;65325;15119;-2040;2040;0
589;13;24;102424;65295;14925;0;-30;-194
590;14;24;102424;65295;14925;0;0;0
591;15;24;102424;65267;14728;0;-28;-197
592;16;24;102424;65267;14728;0;0;0
593;17;24;102424;65236;14539;0;-31;-189
594;18;24;102424;65236;14539;0;0;0
595;19;24;102424;65236;14539;0;0;0
596;20;24;102424;65236;14539;0;0;0
597;21;24;102424;65236;14539;0;0;0
598;22;24;102424;65236;14539;0;0;0
599;23;24;102424;65236;14539;0;0;0
600;0;25;102424;65236;14539;0;0;0
601;1;25;102424;65236;14539;0;0;0
602;2;25;102424;65236;14539;0;0;0
603;3;25;102424;65236;14539;0;0;0
604;4;25;102424;65236;14539;0;0;0
605;5;25;102424;65198;14366;0;-38;-173
606;6;25;102424;65198;14366;0;0;0
607;7;25;102424;65155;14206;0;-43;-160
608;8;25;102022;65250;14513;-402;95;307
609;9;25;102022;65224;14318;0;-26;-195
610;10;25;101615;65631;14318;-407;407;0
611;11;25;101615;65599;14145;0;-32;-173
612;12;25;101201;66013;14145;-414;414;0
613;13;25;101201;65974;13983;0;-39;-162
614;14;25;101201;65974;13983;0;0;0
615;15;25;101201;65928;13843;0;-46;-140
616;16;25;101201;65928;13843;0;0;0
617;17;25;101201;65876;13711;0;-52;-132
618;18;25;101201;65876;13711;0;0;0
619;19;25;101201;65876;13711;0;0;0
620;20;25;101201;65876;13711;0;0;0
621;21;25;101201;65876;13711;0;0;0
622;22;25;101201;65876;13711;0;0;0
623;23;25;101201;65876;13711;0;0;0
624;0;26;101201;65876;13711;0;0;0
625;1;26;101201;65876;13711;0;0;0
