scenario;seed;group;reason;packets;requested;fulfilled;unmet
94_levy_v2_flood_all;0;worker;anticipated_destination_disable;5521.0;70497.0;0.0;70497.0
94_levy_v2_flood_all;0;worker;destination_disabled;126146.0;1359780.0;0.0;1359780.0
94_levy_v2_flood_all;0;worker;fulfilled;3239196.0;36648060.0;36648060.0;0.0
94_levy_v2_flood_all;0;worker;insufficient_population;60766.0;542440.0;62254.0;480186.0
94_levy_v2_flood_all;0;worker;origin_disabled;204451.0;2081647.0;0.0;2081647.0
94_levy_v2_flood_all;1;student;anticipated_destination_disable;420.0;11855.0;0.0;11855.0
94_levy_v2_flood_all;1;student;destination_disabled;18276.0;527513.0;0.0;527513.0
94_levy_v2_flood_all;1;student;fulfilled;489466.0;14570431.0;14570431.0;0.0
94_levy_v2_flood_all;1;student;insufficient_population;10759.0;275259.0;122323.0;152936.0
94_levy_v2_flood_all;1;student;origin_disabled;31111.0;824310.0;0.0;824310.0
94_levy_v2_flood_all;1;worker;anticipated_destination_disable;5455.0;68614.0;0.0;68614.0
94_levy_v2_flood_all;1;worker;destination_disabled;125958.0;1359694.0;0.0;1359694.0
94_levy_v2_flood_all;1;worker;fulfilled;3238565.0;36640291.0;36640291.0;0.0
94_levy_v2_flood_all;1;worker;insufficient_population;61789.0;552183.0;56429.0;495754.0
94_levy_v2_flood_all;1;worker;origin_disabled;204537.0;2081586.0;0.0;2081586.0
94_levy_v2_flood_all;2;student;anticipated_destination_disable;494.0;13526.0;0.0;13526.0
94_levy_v2_flood_all;2;student;destination_disabled;18375.0;531019.0;0.0;531019.0
94_levy_v2_flood_all;2;student;fulfilled;489382.0;14588794.0;14588794.0;0.0
94_levy_v2_flood_all;2;student;insufficient_population;10032.0;252608.0;109335.0;143273.0
94_levy_v2_flood_all;2;student;origin_disabled;31021.0;824037.0;0.0;824037.0
