;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
2105;0;Costa e Silva;Jardim Botânico;0;0;0;0;0;0
2106;0;Costa e Silva;Jardim Carvalho;0;0;0;0;0;0
2107;0;Costa e Silva;Jardim Europa;500;0;327;76;0;500
2108;0;Costa e Silva;Jardim Floresta;250;250;0;0;250;0
2109;0;Costa e Silva;Jardim Isabel;0;0;0;0;0;0
2110;0;Costa e Silva;Jardim Itú;455;0;127;42;250;205
2111;0;Costa e Silva;Jardim Leopoldina;3128;0;1727;419;248;2880
2112;0;Costa e Silva;Jardim Lindóia;0;0;0;0;0;0
2113;0;Costa e Silva;Jardim Sabará;250;0;149;31;0;250
2114;0;Costa e Silva;Jardim São Pedro;0;0;0;0;0;0
2115;0;Costa e Silva;Jardim do Salso;0;0;0;0;0;0
2116;0;Costa e Silva;Lageado;180;0;108;38;0;180
2117;0;Costa e Silva;Lami;0;0;0;0;0;0
2118;0;Costa e Silva;Lomba do Pinheiro;0;0;0;0;0;0
2119;0;Costa e Silva;Medianeira;0;0;0;0;0;0
2120;0;Costa e Silva;Menino Deus;0;0;0;0;0;0
2121;0;Costa e Silva;Moinhos de Vento;0;0;0;0;0;0
2122;0;Costa e Silva;Mont'Serrat;0;0;0;0;0;0
2123;0;Costa e Silva;Morro Santana;230;0;230;0;230;0
2124;0;Costa e Silva;Mário Quintana;0;0;0;0;0;0
2125;0;Costa e Silva;Navegantes;250;0;143;39;0;250
2126;0;Costa e Silva;Nonoai;705;0;447;104;0;705
2127;0;Costa e Silva;Parque Santa Fé;3497;750;977;224;1997;1500
2128;0;Costa e Silva;Partenon;0;0;0;0;0;0
2129;0;Costa e Silva;Passo D'Areia;0;0;0;0;0;0
2130;0;Costa e Silva;Passo das Pedras;1582;250;593;112;977;605
2131;0;Costa e Silva;Pedra Redonda;250;0;181;47;0;250
2132;0;Costa e Silva;Petrópolis;0;0;0;0;0;0
2133;0;Costa e Silva;Pitinga;0;0;0;0;0;0
2134;0;Costa e Silva;Ponta Grossa;0;0;0;0;0;0
2135;0;Costa e Silva;Praia de Belas;0;0;0;0;0;0
2136;0;Costa e Silva;Restinga;194;0;113;31;0;194
2137;0;Costa e Silva;Rio Branco;250;0;179;31;0;250
2138;0;Costa e Silva;Rubem Berta;3303;1248;344;200;2643;660
2139;0;Costa e Silva;Santa Cecília;0;0;0;0;0;0
2140;0;Costa e Silva;Santa Maria Goretti;180;0;129;12;0;180
2141;0;Costa e Silva;Santa Rosa de Lima;2097;250;637;118;1474;623
2142;0;Costa e Silva;Santa Tereza;205;0;123;26;0;205
2143;0;Costa e Silva;Santana;455;0;293;99;0;455
2144;0;Costa e Silva;Santo Antônio;0;0;0;0;0;0
2145;0;Costa e Silva;Sarandi;896;248;372;156;248;648
2146;0;Costa e Silva;Serraria;0;0;0;0;0;0
2147;0;Costa e Silva;São Caetano;0;0;0;0;0;0
2148;0;Costa e Silva;São Geraldo;0;0;0;0;0;0
2149;0;Costa e Silva;São José;0;0;0;0;0;0
2150;0;Costa e Silva;São João;180;0;106;58;0;180
2151;0;Costa e Silva;São Sebastião;1000;250;475;111;250;750
2152;0;Costa e Silva;Sétimo Céu;0;0;0;0;0;0
2153;0;Costa e Silva;Teresópolis;453;248;117;55;248;205
2154;0;Costa e Silva;Tristeza;0;0;0;0;0;0
2155;0;Costa e Silva;Três Figueiras;0;0;0;0;0;0
2156;0;Costa e Silva;Vila Assunção;0;0;0;0;0;0
2157;0;Costa e Silva;Vila Conceição;0;0;0;0;0;0
2158;0;Costa e Silva;Vila Ipiranga;0;0;0;0;0;0
2159;0;Costa e Silva;Vila Jardim;250;0;153;28;0;250
2160;0;Costa e Silva;Vila João Pessoa;0;0;0;0;0;0
2161;0;Costa e Silva;Vila Nova;250;0;0;0;250;0
2162;0;Cristal;Aberta dos Morros;493;243;0;0;493;0
2163;0;Cristal;Agronomia;0;0;0;0;0;0
2164;0;Cristal;Anchieta;250;250;0;0;250;0
2165;0;Cristal;Arquipélago;0;0;0;0;0;0
2166;0;Cristal;Auxiliadora;0;0;0;0;0;0
2167;0;Cristal;Azenha;704;250;142;44;454;250
2168;0;Cristal;Bela Vista;0;0;0;0;0;0
2169;0;Cristal;Belém Novo;0;0;0;0;0;0
2170;0;Cristal;Belém Velho;205;0;119;27;0;205
2171;0;Cristal;Boa Vista;0;0;0;0;0;0
2172;0;Cristal;Boa Vista do Sul;0;0;0;0;0;0
2173;0;Cristal;Bom Fim;122;0;0;0;122;0
2174;0;Cristal;Bom Jesus;180;0;122;29;0;180
2175;0;Cristal;Camaquã;1000;250;276;89;500;500
2176;0;Cristal;Campo Novo;409;0;123;29;204;205
2177;0;Cristal;Cascata;750;0;439;137;0;750
2178;0;Cristal;Cavalhada;4256;736;2067;685;736;3520
2179;0;Cristal;Cel. Aparício Borges;250;0;156;61;0;250
2180;0;Cristal;Centro Histórico;205;0;92;60;0;205
2181;0;Cristal;Chapéu do Sol;0;0;0;0;0;0
2182;0;Cristal;Chácara das Pedras;194;0;102;48;0;194
2183;0;Cristal;Cidade Baixa;250;0;140;45;0;250
2184;0;Cristal;Costa e Silva;0;0;0;0;0;0
2185;0;Cristal;Cristal;9757;2975;3077;869;5409;4348
2186;0;Cristal;Cristo Redentor;0;0;0;0;0;0
2187;0;Cristal;Espírito Santo;0;0;0;0;0;0
2188;0;Cristal;Extrema;500;0;276;97;0;500
2189;0;Cristal;Farrapos;9276;3400;3344;1206;1848;4406
2190;0;Cristal;Farroupilha;0;0;0;0;0;0
