code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
A09,adaptation,stage5_94_levy_off_flood_both_reroute,popular_times_v2/stage5/94_levy_off_flood_both_reroute,4,complete,all controlled performance artifacts are complete,2369.943761900009,42.32042431964302,1367.33984375,10873,48b2e244f7329c368e46d286002bbc4de7bd81a3
A10,adaptation,stage5_94_levy_on_flood_both_reroute,popular_times_v2/stage5/94_levy_on_flood_both_reroute,0,complete,all controlled performance artifacts are complete,3435.4372653000173,61.347094023214595,1698.796875,12381,48b2e244f7329c368e46d286002bbc4de7bd81a3
A10,adaptation,stage5_94_levy_on_flood_both_reroute,popular_times_v2/stage5/94_levy_on_flood_both_reroute,1,complete,all controlled performance artifacts are complete,3440.0198888999876,61.42892658749978,1699.25390625,12397,48b2e244f7329c368e46d286002bbc4de7bd81a3
A10,adaptation,stage5_94_levy_on_flood_both_reroute,popular_times_v2/stage5/94_levy_on_flood_both_reroute,2,complete,all controlled performance artifacts are complete,3437.893192300049,61.390949862500875,1697.109375,12401,48b2e244f7329c368e46d286002bbc4de7bd81a3
A10,adaptation,stage5_94_levy_on_flood_both_reroute,popular_times_v2/stage5/94_levy_on_flood_both_reroute,3,complete,all controlled performance artifacts are complete,3432.9108807999874,61.30198001428549,1707.87109375,12385,48b2e244f7329c368e46d286002bbc4de7bd81a3
A10,adaptation,stage5_94_levy_on_flood_both_reroute,popular_times_v2/stage5/94_levy_on_flood_both_reroute,4,complete,all controlled performance artifacts are complete,3437.0687894999865,61.37622838392833,1702.22265625,12401,48b2e244f7329c368e46d286002bbc4de7bd81a3
F01,disruption,stage6_13_levy_v2_flood_destinations,popular_times_v2/stage6/13_levy_v2_flood_destinations,0,complete,all controlled performance artifacts are complete,425.4899856999982,7.59803545892854,400.7421875,6962,48b2e244f7329c368e46d286002bbc4de7bd81a3
F01,disruption,stage6_13_levy_v2_flood_destinations,popular_times_v2/stage6/13_levy_v2_flood_destinations,1,complete,all controlled performance artifacts are complete,425.18576169997687,7.592602887499587,394.70703125,6963,48b2e244f7329c368e46d286002bbc4de7bd81a3
F01,disruption,stage6_13_levy_v2_flood_destinations,popular_times_v2/stage6/13_levy_v2_flood_destinations,2,complete,all controlled performance artifacts are complete,425.62875690002693,7.600513516071909,398.78515625,6963,48b2e244f7329c368e46d286002bbc4de7bd81a3
F01,disruption,stage6_13_levy_v2_flood_destinations,popular_times_v2/stage6/13_levy_v2_flood_destinations,3,complete,all controlled performance artifacts are complete,423.4948185000103,7.56240747321447,400.6015625,6962,48b2e244f7329c368e46d286002bbc4de7bd81a3
