;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
340;Arquipélago;Nonoai;50;0;30;5;0;50
341;Arquipélago;Parque Santa Fé;50;0;30;4;0;50
342;Arquipélago;Partenon;300;0;173;55;0;300
343;Arquipélago;Passo D'Areia;300;0;117;106;0;300
344;Arquipélago;Passo das Pedras;0;0;0;0;0;0
345;Arquipélago;Pedra Redonda;0;0;0;0;0;0
346;Arquipélago;Petrópolis;100;0;54;28;0;100
347;Arquipélago;Pitinga;50;0;32;7;0;50
348;Arquipélago;Ponta Grossa;0;0;0;0;0;0
349;Arquipélago;Praia de Belas;450;0;243;71;0;450
350;Arquipélago;Restinga;150;0;88;22;0;150
351;Arquipélago;Rio Branco;100;0;51;19;0;100
352;Arquipélago;Rubem Berta;50;0;31;13;0;50
353;Arquipélago;Santa Cecília;50;0;33;6;0;50
354;Arquipélago;Santa Maria Goretti;50;0;26;7;0;50
355;Arquipélago;Santa Rosa de Lima;100;0;63;12;0;100
356;Arquipélago;Santa Tereza;100;0;51;15;0;100
357;Arquipélago;Santana;0;0;0;0;0;0
358;Arquipélago;Santo Antônio;0;0;0;0;0;0
359;Arquipélago;Sarandi;150;0;90;25;0;150
360;Arquipélago;Serraria;100;0;56;14;0;100
361;Arquipélago;São Caetano;50;0;30;9;0;50
362;Arquipélago;São Geraldo;0;0;0;0;0;0
363;Arquipélago;São José;0;0;0;0;0;0
364;Arquipélago;São João;0;0;0;0;0;0
365;Arquipélago;São Sebastião;50;0;30;2;0;50
366;Arquipélago;Sétimo Céu;0;0;0;0;0;0
367;Arquipélago;Teresópolis;0;0;0;0;0;0
368;Arquipélago;Tristeza;50;0;23;13;0;50
369;Arquipélago;Três Figueiras;50;0;28;12;0;50
370;Arquipélago;Vila Assunção;50;0;30;10;0;50
371;Arquipélago;Vila Conceição;0;0;0;0;0;0
372;Arquipélago;Vila Ipiranga;0;0;0;0;0;0
373;Arquipélago;Vila Jardim;100;0;59;16;0;100
374;Arquipélago;Vila João Pessoa;50;0;26;10;0;50
375;Arquipélago;Vila Nova;100;0;55;18;0;100
376;Auxiliadora;Aberta dos Morros;50;0;19;11;0;50
377;Auxiliadora;Agronomia;0;0;0;0;0;0
378;Auxiliadora;Anchieta;200;0;118;38;0;200
379;Auxiliadora;Arquipélago;100;0;57;21;0;100
380;Auxiliadora;Auxiliadora;1200;0;606;348;0;1200
381;Auxiliadora;Azenha;50;0;24;14;0;50
382;Auxiliadora;Bela Vista;400;0;234;82;0;400
383;Auxiliadora;Belém Novo;0;0;0;0;0;0
384;Auxiliadora;Belém Velho;100;0;59;17;0;100
385;Auxiliadora;Boa Vista;1650;0;873;436;0;1650
386;Auxiliadora;Boa Vista do Sul;50;0;28;14;0;50
387;Auxiliadora;Bom Fim;50;0;30;10;0;50
388;Auxiliadora;Bom Jesus;100;0;60;14;0;100
389;Auxiliadora;Camaquã;0;0;0;0;0;0
390;Auxiliadora;Campo Novo;50;0;26;7;0;50
391;Auxiliadora;Cascata;100;0;45;35;0;100
392;Auxiliadora;Cavalhada;100;0;50;24;0;100
393;Auxiliadora;Cel. Aparício Borges;0;0;0;0;0;0
394;Auxiliadora;Centro Histórico;150;0;75;37;0;150
395;Auxiliadora;Chapéu do Sol;0;0;0;0;0;0
396;Auxiliadora;Chácara das Pedras;50;0;24;18;0;50
397;Auxiliadora;Cidade Baixa;200;0;99;55;0;200
398;Auxiliadora;Costa e Silva;0;0;0;0;0;0
399;Auxiliadora;Cristal;50;0;30;10;0;50
400;Auxiliadora;Cristo Redentor;300;0;168;62;0;300
401;Auxiliadora;Espírito Santo;0;0;0;0;0;0
402;Auxiliadora;Extrema;0;0;0;0;0;0
403;Auxiliadora;Farrapos;100;0;66;10;0;100
404;Auxiliadora;Farroupilha;100;0;45;27;0;100
405;Auxiliadora;Floresta;500;0;258;145;0;500
406;Auxiliadora;Glória;100;0;57;19;0;100
407;Auxiliadora;Guarujá;0;0;0;0;0;0
408;Auxiliadora;Higienópolis;550;0;305;116;0;550
409;Auxiliadora;Humaitá;50;0;24;17;0;50
410;Auxiliadora;Hípica;0;0;0;0;0;0
411;Auxiliadora;Independência;200;0;102;62;0;200
412;Auxiliadora;Ipanema;50;0;30;8;0;50
413;Auxiliadora;Jardim Botânico;50;0;29;9;0;50
414;Auxiliadora;Jardim Carvalho;250;0;136;46;0;250
415;Auxiliadora;Jardim Europa;0;0;0;0;0;0
416;Auxiliadora;Jardim Floresta;100;0;49;27;0;100
417;Auxiliadora;Jardim Isabel;0;0;0;0;0;0
418;Auxiliadora;Jardim Itú;200;0;111;48;0;200
419;Auxiliadora;Jardim Leopoldina;50;0;31;7;0;50
420;Auxiliadora;Jardim Lindóia;0;0;0;0;0;0
421;Auxiliadora;Jardim Sabará;150;0;71;41;0;150
422;Auxiliadora;Jardim São Pedro;150;0;80;37;0;150
423;Auxiliadora;Jardim do Salso;0;0;0;0;0;0
424;Auxiliadora;Lageado;0;0;0;0;0;0
425;Auxiliadora;Lami;0;0;0;0;0;0
426;Auxiliadora;Lomba do Pinheiro;0;0;0;0;0;0
427;Auxiliadora;Medianeira;0;0;0;0;0;0
428;Auxiliadora;Menino Deus;300;0;166;74;0;300
429;Auxiliadora;Moinhos de Vento;400;0;186;149;0;400
430;Auxiliadora;Mont'Serrat;1000;0;530;253;0;1000
431;Auxiliadora;Morro Santana;150;0;80;34;0;150
432;Auxiliadora;Mário Quintana;0;0;0;0;0;0
433;Auxiliadora;Navegantes;150;0;76;34;0;150
434;Auxiliadora;Nonoai;0;0;0;0;0;0
435;Auxiliadora;Parque Santa Fé;150;0;87;26;0;150
436;Auxiliadora;Partenon;50;0;20;16;0;50
437;Auxiliadora;Passo D'Areia;300;0;134;84;0;300
438;Auxiliadora;Passo das Pedras;50;0;29;13;0;50
439;Auxiliadora;Pedra Redonda;50;0;23;11;0;50
440;Auxiliadora;Petrópolis;900;0;489;222;0;900
441;Auxiliadora;Pitinga;50;0;29;14;0;50
442;Auxiliadora;Ponta Grossa;50;0;24;13;0;50
443;Auxiliadora;Praia de Belas;0;0;0;0;0;0
444;Auxiliadora;Restinga;100;0;59;11;0;100
445;Auxiliadora;Rio Branco;250;0;118;85;0;250
446;Auxiliadora;Rubem Berta;50;0;23;20;0;50
447;Auxiliadora;Santa Cecília;50;0;25;18;0;50
448;Auxiliadora;Santa Maria Goretti;200;0;117;48;0;200
449;Auxiliadora;Santa Rosa de Lima;50;0;27;9;0;50
450;Auxiliadora;Santa Tereza;200;0;98;48;0;200
451;Auxiliadora;Santana;100;0;52;24;0;100
452;Auxiliadora;Santo Antônio;50;0;26;16;0;50
453;Auxiliadora;Sarandi;300;0;145;91;0;300
454;Auxiliadora;Serraria;0;0;0;0;0;0
455;Auxiliadora;São Caetano;0;0;0;0;0;0
456;Auxiliadora;São Geraldo;150;0;86;34;0;150
457;Auxiliadora;São José;50;0;22;12;0;50
458;Auxiliadora;São João;600;0;309;162;0;600
459;Auxiliadora;São Sebastião;100;0;56;29;0;100
460;Auxiliadora;Sétimo Céu;100;0;59;26;0;100
461;Auxiliadora;Teresópolis;50;0;19;17;0;50
462;Auxiliadora;Tristeza;0;0;0;0;0;0
463;Auxiliadora;Três Figueiras;250;0;123;79;0;250
464;Auxiliadora;Vila Assunção;0;0;0;0;0;0
465;Auxiliadora;Vila Conceição;50;0;28;11;0;50
466;Auxiliadora;Vila Ipiranga;200;0;120;51;0;200
467;Auxiliadora;Vila Jardim;50;0;28;10;0;50
468;Auxiliadora;Vila João Pessoa;50;0;33;15;0;50
469;Auxiliadora;Vila Nova;100;0;53;23;0;100
470;Azenha;Aberta dos Morros;150;0;74;33;0;150
471;Azenha;Agronomia;0;0;0;0;0;0
472;Azenha;Anchieta;0;0;0;0;0;0
473;Azenha;Arquipélago;50;0;29;7;0;50
