;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
350;Arquipélago;Restinga;200;50;60;12;100;100
351;Arquipélago;Rio Branco;66;0;31;13;0;66
352;Arquipélago;Rubem Berta;5;0;2;2;0;5
353;Arquipélago;Santa Cecília;54;50;2;1;50;4
354;Arquipélago;Santa Maria Goretti;0;0;0;0;0;0
355;Arquipélago;Santa Rosa de Lima;55;0;5;0;50;5
356;Arquipélago;Santa Tereza;312;0;130;28;100;212
357;Arquipélago;Santana;17;0;7;5;0;17
358;Arquipélago;Santo Antônio;105;0;28;11;50;55
359;Arquipélago;Sarandi;183;0;71;33;50;133
360;Arquipélago;Serraria;100;50;23;8;50;50
361;Arquipélago;São Caetano;0;0;0;0;0;0
362;Arquipélago;São Geraldo;0;0;0;0;0;0
363;Arquipélago;São José;140;0;61;10;50;90
364;Arquipélago;São João;150;100;28;9;100;50
365;Arquipélago;São Sebastião;126;50;45;13;50;76
366;Arquipélago;Sétimo Céu;100;0;57;12;0;100
367;Arquipélago;Teresópolis;0;0;0;0;0;0
368;Arquipélago;Tristeza;17;0;11;5;0;17
369;Arquipélago;Três Figueiras;50;50;0;0;50;0
370;Arquipélago;Vila Assunção;50;0;0;0;50;0
371;Arquipélago;Vila Conceição;0;0;0;0;0;0
372;Arquipélago;Vila Ipiranga;31;0;22;5;0;31
373;Arquipélago;Vila Jardim;112;50;6;4;100;12
374;Arquipélago;Vila João Pessoa;150;0;39;10;100;50
375;Arquipélago;Vila Nova;133;100;12;9;100;33
376;Auxiliadora;Aberta dos Morros;0;0;0;0;0;0
377;Auxiliadora;Agronomia;100;0;51;21;0;100
378;Auxiliadora;Anchieta;0;0;0;0;0;0
379;Auxiliadora;Arquipélago;200;100;58;12;100;100
380;Auxiliadora;Auxiliadora;6410;800;1629;727;4000;2410
381;Auxiliadora;Azenha;151;0;61;25;50;101
382;Auxiliadora;Bela Vista;910;300;298;142;400;510
383;Auxiliadora;Belém Novo;50;0;26;9;0;50
384;Auxiliadora;Belém Velho;14;0;7;3;0;14
385;Auxiliadora;Boa Vista;557;100;271;106;100;457
386;Auxiliadora;Boa Vista do Sul;100;50;0;0;100;0
387;Auxiliadora;Bom Fim;450;50;174;68;250;200
